id,collection,dc.contributor.advisor[en_US],dc.contributor.author[en_US],dc.date.issued[en_US],dc.description.abstract[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.language[en_US],dc.note[en_US],dc.publisher[en_US],dc.subject[en_US],dc.thesis.degree[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US],ou.identifier[en_US]
3,11244/111,,"Cohen, Edwin.",1955,,"v, 42 leaves ;",http://hdl.handle.net/11244/115,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2324.",The University of Oklahoma.,"Psychology, Social.||Social ethics.",Ph.D.,,Stimulus conditions as factors in social change /,Thesis,(UMI)AAI0014002
36,11244/111,,"Hoadley, Frank Mitchell.",1955,,"viii, 319 leaves ;",http://hdl.handle.net/11244/148,,"Source: Dissertation Abstracts International, Volume: 16-02, page: 0338.",The University of Oklahoma.,"Literature, Modern.||Faulkner, William, 1897-1962.",Ph.D.,,The world view of William Faulkner /,Thesis,(UMI)AAI0015453
58,11244/111,,"Gober, Ruth Bell,",1956,,"iv, 208 leaves ;",http://hdl.handle.net/11244/170,,"Source: Dissertation Abstracts International, Volume: 17-07, page: 1552.",The University of Oklahoma.,"Students in literature.||Literature, Modern.||American fiction 20th century History and criticism.",Educat.D.,,The American novelist interprets the student of higher education /,Thesis,(UMI)AAI0016973
66,11244/111,,"Scull, Berton James.",1956,,"x, 208 leaves :",http://hdl.handle.net/11244/178,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1430.",The University of Oklahoma.,Mines and mineral resources Arkansas.||Geology Arkansas.||Barite.||Geology.,Ph.D.,,Origin and occurrence of barite in Arkansas /,Thesis,(UMI)AAI0016981
14,11244/111,,"Mccay, Paul Baker.",1955,,"v, 61 leaves :",http://hdl.handle.net/11244/126,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2267.",The University of Oklahoma.,"Biology, Animal Physiology.||Metabolism.||Kidneys.",Ph.D.,,Effects of ouabain on the metabolism of kidney cortex in vitro /,Thesis,(UMI)AAI0014013
30,11244/111,,"Danskin, Donald Ralph.",1955,,"vii, 217 leaves ;",http://hdl.handle.net/11244/142,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0045.",The University of Oklahoma.,"Business education Study and teaching.||Education, General.",Educat.D.,,Education for business in church-related liberal arts colleges /,Thesis,(UMI)AAI0015447
54,11244/111,,"Brooks, Richard Stephen.",1956,,"ix, 212 leaves :",http://hdl.handle.net/11244/166,,"Source: Dissertation Abstracts International, Volume: 17-02, page: 0391.",The University of Oklahoma.,"Political Science, General.||United States. Congress. House Committees Rules and  practice.",Ph.D.,,"The sectional and seniority basis of the standing committee chairmanships of the United States House of Representatives, 1889-1954 /",Thesis,(UMI)AAI0016969
37,11244/111,,"Jackson, Jasper A.",1955,,"vii, 129 leaves :",http://hdl.handle.net/11244/149,,"Source: Dissertation Abstracts International, Volume: 16-02, page: 0357.",The University of Oklahoma.,"Physics, General.||Spectrum analysis.",Ph.D.,,Vibrational spectra of lead alkyls /,Thesis,(UMI)AAI0015454
15,11244/111,,"Mckinney, T. Harry",1955,,"x, 217 leaves ;",http://hdl.handle.net/11244/127,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2041.",The University of Oklahoma.,"Wages Oklahoma.||Economics, General.",Ph.D.,,Methods of estimating wages and salaries in the counties of Oklahoma /,Thesis,(UMI)AAI0014014
6,11244/111,,"Fikes, James A.",1955,,"ix, 100 leaves ;",http://hdl.handle.net/11244/118,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2115.",The University of Oklahoma.,"Education, Teacher Training.||Health education.",Ph.D.,,Health knowledge of prospective and experienced teachers of Oklahoma /,Thesis,(UMI)AAI0014005
43,11244/111,,"French, Lillian A.",1956,,"vii, 103 leaves ;",http://hdl.handle.net/11244/155,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1413.",The University of Oklahoma.,"Education, General.||Reading Remedial teaching.",Educat.D.,,A study of the progress made by twenty-four retarded readers in an improvement program /,Thesis,(UMI)AAI0016757
7,11244/111,,"Fitzpatrick, Philip M.",1955,,"viii, 197 leaves :",http://hdl.handle.net/11244/119,,"Source: Dissertation Abstracts International, Volume: 15-12, page: 2552.",The University of Oklahoma.,"Cosmic rays.||Matter.||Physics, Nuclear.",Ph.D.,,The interaction of extremely energetic cosmic ray particles with matter /,Thesis,(UMI)AAI0014006
16,11244/111,,"Mcnulty, Charles Lee.",1955,,"vi, 185 leaves, 10 leaves of plates :",http://hdl.handle.net/11244/128,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2165.",The University of Oklahoma.,"Geology.||Foraminifera, Fossil.||Paleontology Texas.",Ph.D.,,Foraminifera of the Austin group in northeast Texas /,Thesis,(UMI)AAI0014015
63,11244/111,,"Lehr, Milton W.",1956,,"vii, 80 leaves ;",http://hdl.handle.net/11244/175,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1386.",The University of Oklahoma.,"Northwestern State College (Okla.) Students.||Education, Administration.",Educat.D.,,A statistical description of factors related to drop-outs and non-drop-outs at Northwestern State College /,Thesis,(UMI)AAI0016978
76,11244/111,,"Diab, Lutfy N.",1957,,"v, 59 leaves ;",http://hdl.handle.net/11244/188,,"Source: Dissertation Abstracts International, Volume: 17-02, page: 0419.",The University of Oklahoma.,"Students, Foreign United States.||Prejudices.||Psychology, Social.",Ph.D.,,Authoritarianism and prejudice in Near-Eastern students attending American universities /,Thesis,(UMI)AAI0019487
8,11244/111,,"John, Peter William Meredith.",1955,,"iv, 50 leaves ;",http://hdl.handle.net/11244/120,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2227.",The University of Oklahoma.,Population Statistics||Mathematics.,Ph.D.,,Certain statistics related to time-homogeneous birth and death processes /,Thesis,(UMI)AAI0014007
17,11244/111,,"Miller, Wilfred Theodore.",1955,,"viii, 90 leaves ;",http://hdl.handle.net/11244/129,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2312.",The University of Oklahoma.,"Rorschach Test.||Perception.||Psychology, Experimental.",Ph.D.,,Perception of apparent depth as a function of illumination intensity in the case of a relatively unstructured stimulus /,Thesis,(UMI)AAI0014016
32,11244/111,,"Eldib, Ibrahim Abdalla.",1955,,"viii, 104 leaves :",http://hdl.handle.net/11244/144,,"Source: Dissertation Abstracts International, Volume: 16-02, page: 0302.",The University of Oklahoma.,"Hydrogenation.||Cottonseed oil.||Engineering, Chemical.",Ph.D.,,Effect of operating variables on hydrogenation of cottonseed oil /,Thesis,(UMI)AAI0015449
25,11244/111,,"Vance, Merle William.",1955,,"xxii, 310 leaves ;",http://hdl.handle.net/11244/137,,"Source: Dissertation Abstracts International, Volume: 15-12, page: 2484.",The University of Oklahoma.,"Teachers colleges Oklahoma.||Education, Teacher Training.||Teachers Training of Oklahoma.",Educat.D.,,Evaluation of teacher education programs in the State of Oklahoma /,Thesis,(UMI)AAI0014024
9,11244/111,,"Kleinman, Bernard.",1955,,"vi, 67 leaves ;",http://hdl.handle.net/11244/121,,"Source: Dissertation Abstracts International, Volume: 15-12, page: 2569.",The University of Oklahoma.,"Psychology, General.||Bender-Gestalt Test.",Ph.D.,,A study of factors involved in the reproduction of Bender designs in normal and schizophrenic subjects /,Thesis,(UMI)AAI0014008
44,11244/111,,"Gamble, Richard Dalzell.",1956,,"v, 354 leaves ;",http://hdl.handle.net/11244/156,,"Source: Dissertation Abstracts International, Volume: 16-06, page: 1132.",The University of Oklahoma.,"Frontier and pioneer life Great Plains.||Military bases Great Plains.||United States. Army Military life.||History, Modern.",Ph.D.,,"Garrison life at frontier military posts, 1830-1860 /",Thesis,(UMI)AAI0016758
59,11244/111,,"Grinnell, Edward Hoepfner.",1956,,"vi, 29 leaves :",http://hdl.handle.net/11244/171,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1467.",The University of Oklahoma.,"Health Sciences, Pharmacology.||Estrogen.||Heart.",Ph.D.,,The effect of estrogenic hormones on cardiac irritability and electrolyte exchange /,Thesis,(UMI)AAI0016974
50,11244/111,,"Penoi, Charles Roderick,",1956,,"viii, 144 leaves :",http://hdl.handle.net/11244/162,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1389.",The University of Oklahoma.,"Indians of North America Education.||Ability Testing.||Education, Administration.",Educat.D.,,Some factors of academic achievement in high school pupils attending selected Indian boarding schools in Oklahoma /,Thesis,(UMI)AAI0016764
18,11244/111,,"Rappolee, Walter E.",1955,,"viii, 106 leaves ;",http://hdl.handle.net/11244/130,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2076.",The University of Oklahoma.,"Education, Administration.||School principals.",Educat.D.,,The status of the elementary-school principalship in Oklahoma in 1953-54 /,Thesis,(UMI)AAI0014017
55,11244/111,,"Fitch, David Robnett.",1956,,"ix, 305 leaves :",http://hdl.handle.net/11244/167,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1357.",The University of Oklahoma.,"Energy.||Economics, General.||Petroleum industry and trade Louisiana.||Petroleum in submerged lands Texas.||Petroleum industry and trade Texas.||Petroleum in submerged lands Louisiana.",Ph.D.,,Economic aspects of the Gulf Coast offshore oil controversy /,Thesis,(UMI)AAI0016970
39,11244/111,,"Linscheid, Harold Wilbert.",1955,,"2 v. (x, 143; 60 leaves) :",http://hdl.handle.net/11244/151,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0052.",The University of Oklahoma.,"Educational tests and measurements.||Education, Administration.||Mathematics Study and teaching.",Ph.D.,,A study of the freshman mathematics placement program at the University of Oklahoma /,Thesis,(UMI)AAI0015456
26,11244/111,,"Allison, Harry William.",1955,,"vi, 61 leaves ;",http://hdl.handle.net/11244/138,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0045.",The University of Oklahoma.,"Education, General.||Juvenile delinquency.",Ph.D.,,The temporal orientation of the juvenile delinquent /,Thesis,(UMI)AAI0015443
83,11244/111,,"Kerr, Clay Witten,",1956,,"vii, 237 leaves ;",http://hdl.handle.net/11244/195,,"Source: Dissertation Abstracts International, Volume: 17-01, page: 0078.",The University of Oklahoma.,"High schools Oklahoma.||Education, Administration.",Educat.D.,,The development of the legal structure and the program of public high school education in Oklahoma /,Thesis,(UMI)AAI0019494
70,11244/111,,"Waterfall, U. T.",1956,,"vi, 118 leaves :",http://hdl.handle.net/11244/182,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1324.",The University of Oklahoma.,"Physalis North America.||Biology, Botany.",Ph.D.,,A taxonomic study of the genus Physalis in North America north of Mexico /,Thesis,(UMI)AAI0016985
19,11244/111,,"Ray, Joseph Bland Bob.",1955,,"vi, 77 leaves :",http://hdl.handle.net/11244/131,,"Source: Dissertation Abstracts International, Volume: 16-03, page: 0580.",The University of Oklahoma.,"Rorschach test.||Psychology, Clinical.",Ph.D.,,The meaning of Rorschach white space responses /,Thesis,(UMI)AAI0014018
45,11244/111,,"Gates, Thomas Virgil.",1956,,"xi, 228 leaves ;",http://hdl.handle.net/11244/157,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1358.",The University of Oklahoma.,"Rural electrification Oklahoma.||Electric power Statistics.||Energy.||Economics, General.",Ph.D.,,The surplus funds of rural electric cooperatives :,Thesis,(UMI)AAI0016759
40,11244/111,,"Marks, Luther Whitfield.",1955,,"ix, 131 leaves :",http://hdl.handle.net/11244/152,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0035.",The University of Oklahoma.,"Chemistry, Physical.||Electromotive force.||Electrolytes Conductivity.",Ph.D.,Distribution of the potential in a uniform column of electrolyte during electrolysis.||Analysis of activation overpotential into exponentially decaying components.,"Part I. The distribution of the potential in a uniform column of electrolyte during electrolysis ; and, Part II. The analysis of activation overpotential into exponentially decaying components /",Thesis,(UMI)AAI0015457
67,11244/111,,"Skeen, Charles H.",1956,,"vii, 67 leaves :",http://hdl.handle.net/11244/179,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1477.",The University of Oklahoma.,"Physics, Nuclear.||Nuclear physics.",Ph.D.,,The use of pellicle stacks to study high energy nuclear interactions /,Thesis,(UMI)AAI0016982
51,11244/111,,"Albright, James Curtice.",1956,,"vi, 95 leaves :",http://hdl.handle.net/11244/163,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1469.",The University of Oklahoma.,"Fluorocarbons.||Spectrum analysis.||Physics, General.",Ph.D.,,"Vibrational spectra of hexafluorobutadiene-1, 3 and 1-fluoro-1-chloroethylene /",Thesis,(UMI)AAI0016966
34,11244/111,,"Gilliland, Lonnie.",1955,,"xii, 209 leaves :",http://hdl.handle.net/11244/146,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0046.",The University of Oklahoma.,"Safety education.||Education, General.",Educat.D.,,Practices in safety education in the school systems of selected cities in the United States /,Thesis,(UMI)AAI0015451
90,11244/111,,"Summers, Dorothy Iris.",1957,,"vii, 387 leaves ;",http://hdl.handle.net/11244/202,,"Source: Dissertation Abstracts International, Volume: 17-02, page: 0438.",The University of Oklahoma.,"Linscheid, Adolph, 1879-1949.||Theater.",Ph.D.,,The speeches of Adolph Linscheid :,Thesis,(UMI)AAI0019501
56,11244/111,,"Fredeman, William E.",1956,,"viii, 267 leaves ;",http://hdl.handle.net/11244/168,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1441.",The University of Oklahoma.,"Literature, General.||Pre-Raphaelitism.||English literature 19th century.",Ph.D.,,The pre-Raphaelites and their critics :,Thesis,(UMI)AAI0016971
46,11244/111,,"Hahn, Irving N.",1956,,"vi, 59 leaves :",http://hdl.handle.net/11244/158,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1504.",The University of Oklahoma.,"Psychology, Clinical.||Schizophrenia.",Ph.D.,,The effects of success and failure experiences on chronic schizophrenic patients /,Thesis,(UMI)AAI0016760
64,11244/111,,"Moroney, Katherine Elizabeth.",1956,,"iv, 151 leaves ;",http://hdl.handle.net/11244/176,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1443.",The University of Oklahoma.,"Shakespeare, William, 1564-1616 Criticism, Textual.||Literature, General.",Ph.D.,,The letter as a dramatic device in Shakespeare's plays /,Thesis,(UMI)AAI0016979
60,11244/111,,"Gutzke, Mark Elias.",1956,,"v, 63 leaves :",http://hdl.handle.net/11244/172,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1342.",The University of Oklahoma.,"Quercetin.||Chemistry, Organic.",Ph.D.,,The synthesis of quercetin-2-Cp14s /,Thesis,(UMI)AAI0016975
52,11244/111,,"Alder, Edwin Francis.",1956,,"vii, 65 leaves :",http://hdl.handle.net/11244/164,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1322.",The University of Oklahoma.,"Auxin.||Biology, Botany.||Growth factors.",Ph.D.,,On the extraction and formation of native auxins in plants /,Thesis,(UMI)AAI0016967
41,11244/111,,"Nemecek, Vivian.",1955,,"xi, 148 leaves ;",http://hdl.handle.net/11244/153,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0073.",The University of Oklahoma.,"Education, Teacher Training.||Mathematics Study and teaching.||Teachers Oklahoma.||Teachers Training of Oklahoma.",Educat.D.,,"Preparation, problems, and practices of mathematics teachers in the North Central high schools of Oklahoma /",Thesis,(UMI)AAI0015458
74,11244/111,,"Bezzi, Diodato.",1957,,"vii, 91 leaves :",http://hdl.handle.net/11244/186,,"Source: Dissertation Abstracts International, Volume: 17-04, page: 0775.",The University of Oklahoma.,"Penmanship.||Education, General.",Educat.D.,,"Standard manuscript scales for grades I, II, and III /",Thesis,(UMI)AAI0019485
71,11244/111,,"Woollett, Albert Haines.",1956,,"vi, 92 leaves :",http://hdl.handle.net/11244/183,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1473.",The University of Oklahoma.,"Raman effect.||Alkanes.||Polyethylene.||Physics, General.",Ph.D.,,Vibration spectra of polyethylenes and long-chain paraffins /,Thesis,(UMI)AAI0016986
68,11244/111,,"Sturch, Ernest.",1956,,"vii, 42 leaves :",http://hdl.handle.net/11244/180,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1353.",The University of Oklahoma.,"Cobalt.||Chemistry, Physical.||Activity coefficients.",Ph.D.,,The standard potential of the cobalt amalgam and activity coefficients of aqueous solutions of cobalt sulfate /,Thesis,(UMI)AAI0016983
65,11244/111,,"Nelson, Paul Eric.",1956,,"vii, 211 leaves ;",http://hdl.handle.net/11244/177,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1360.",The University of Oklahoma.,"Economics, General.||Finance, Public Oklahoma.",Ph.D.,,Methods of estimating transfer payments in the counties of Oklahoma /,Thesis,(UMI)AAI0016980
77,11244/111,,"Drumright, Russel Grant.",1956,,"viii, 143 leaves :",http://hdl.handle.net/11244/189,,"Source: Dissertation Abstracts International, Volume: 17-01, page: 0170.",The University of Oklahoma.,"Psychology, General.||Learning, Psychology of.||Memory.",Ph.D.,,Some factors influencing remembering of pictorial and prose materials /,Thesis,(UMI)AAI0019488
82,11244/111,,"Gullikson, Charles William.",1957,,"vii, 104 leaves :",http://hdl.handle.net/11244/194,,"Source: Dissertation Abstracts International, Volume: 17-02, page: 0379.",The University of Oklahoma.,"Infrared spectra.||Physics, General.||Raman effect.",Ph.D.,,Vibrational spectra of compounds in the gaseous state /,Thesis,(UMI)AAI0019493
72,11244/111,,"Amburn, Elton.",1956,,"xi, 219 leaves ;",http://hdl.handle.net/11244/184,,"Source: Dissertation Abstracts International, Volume: 17-04, page: 0818.",The University of Oklahoma.,"Teachers Oklahoma.||Education, General.||Education, Primary.",Educat.D.,,An analysis of the classroom activities of Oklahoma primary teachers for the school year 1951-1952 /,Thesis,(UMI)AAI0019483
87,11244/111,,"Padron, Jorge Luis.",1956,,"vi, 90 leaves :",http://hdl.handle.net/11244/199,,"Source: Dissertation Abstracts International, Volume: 17-02, page: 0232.",The University of Oklahoma.,"Blood plasma substitutes.||Chemistry, Biochemistry.",Ph.D.,,"Chemical, physical, and biological studies of a chemically treated bovine plasma /",Thesis,(UMI)AAI0019498
69,11244/111,,"Urban, John Samuel.",1956,,"vi, 114 leaves :",http://hdl.handle.net/11244/181,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1478.",The University of Oklahoma.,"Particles.||Nuclear physics.||Physics, Nuclear.",Ph.D.,,The identification of charged particles in nuclear emulsions /,Thesis,(UMI)AAI0016984
80,11244/111,,"Farewell, Kit.",1957,,"vi, 89 leaves ;",http://hdl.handle.net/11244/192,,"Source: Dissertation Abstracts International, Volume: 17-02, page: 0406.",The University of Oklahoma.,"Psychology, Clinical.||Anxiety.||Schizophrenia.||Perception.",Ph.D.,,The effect of anxiety on the perception of schizophrenic patients /,Thesis,(UMI)AAI0019491
89,11244/111,,"Stair, Alva Taylor.",1956,,"vi, 80 leaves :",http://hdl.handle.net/11244/201,,"Source: Dissertation Abstracts International, Volume: 17-01, page: 0160.",The University of Oklahoma.,"Raman effect.||Physics, General.||Infrared spectra.",Ph.D.,,Vibrational spectra of compounds in different states of aggregation /,Thesis,(UMI)AAI0019500
86,11244/111,,"Mires, Kathrine Carrie,",1956,,"vi, 85 leaves :",http://hdl.handle.net/11244/198,,"Source: Dissertation Abstracts International, Volume: 17-06, page: 1276.",The University of Oklahoma.,"Mathematics Study and teaching.||Education, General.",Educat.D.,,The need for and nature of one type of course in mathematics for general education at the college level /,Thesis,(UMI)AAI0019497
92,11244/111,,"Webb, Robert Bradley.",1957,,"vi, 74 leaves :",http://hdl.handle.net/11244/204,,"Source: Dissertation Abstracts International, Volume: 17-02, page: 0216.",The University of Oklahoma.,"Biology, Microbiology.||Nocardia corallina.||Genetics.||Cells.",Ph.D.,,A study of available technics and their application in microbial cytogenetics /,Thesis,(UMI)AAI0019503
91,11244/111,,"Ward, William Wedekind.",1956,,"vii, 250 leaves :",http://hdl.handle.net/11244/203,,"Source: Dissertation Abstracts International, Volume: 17-01, page: 0107.",The University of Oklahoma.,"Education, Teacher Training.||Business education Oklahoma.||Southwestern State College (Okla.)",Educat.D.,,An evaluation of the business education program at Southwestern State College /,Thesis,(UMI)AAI0019502
93,11244/111,,"Greer, James Edward.",1956,,"vi, 50 leaves ;",http://hdl.handle.net/11244/205,,"Source: Dissertation Abstracts International, Volume: 17-04, page: 0722.",The University of Oklahoma.,"Biology, Microbiology.",Ph.D.,,A study of strains of Histoplasma capsulatum /,Thesis,(UMI)AAI0020567
129,11244/111,,"Murphy, Edwin Lee,",1958,,"vi, 80 leaves :",http://hdl.handle.net/11244/241,,"Source: Dissertation Abstracts International, Volume: 18-01, page: 0055.",The University of Oklahoma.,"Chemistry, Biochemistry.||Tobacco.||Flavonoids.",Ph.D.,,A study of certain flavonoid compounds in the leaves and flowers of tobacco /,Thesis,(UMI)AAI0024421
1513,11244/111,,"Fisher, Leslie Robert,",1963,,"v, 125 leaves ;",http://hdl.handle.net/11244/1625,,"Source: Dissertation Abstracts International, Volume: 24-01, page: 0154.",The University of Oklahoma.,"Liability for school accidents United States.||Education, Administration.",Educat.D.,,An analysis of patterns of liability decisions in the public schools of selected states of the United States /,Thesis,(UMI)AAI6304499
122,11244/111,,"Allison, Sarah Gilleland,",1957,,"v, 76 leaves ;",http://hdl.handle.net/11244/234,,"Source: Dissertation Abstracts International, Volume: 17-12, page: 3086.",The University of Oklahoma.,"Interpersonal relations.||Juvenile delinquency.||Psychology, Clinical.",Ph.D.,,Parent and peer-group friend attitudes as they relate to the self- concept of the juvenile delinquent /,Thesis,(UMI)AAI0024414
95,11244/111,,"Tribe, Edward Barrett.",1957,,"v, 81 leaves ;",http://hdl.handle.net/11244/207,,"Source: Dissertation Abstracts International, Volume: 17-04, page: 0788.",The University of Oklahoma.,"Rinsland, Henry Daniel, b. 1889. Basic vocabulary of elementary school children.||Reading (Elementary)||Education, General.",Educat.D.,,A readability formula for the elementary school based upon the Rinsland vocabulary /,Thesis,(UMI)AAI0020569
2988,11244/111,,"Elwell, Larry,",1971,,"vii, 277 leaves ;",http://hdl.handle.net/11244/3100,,"Source: Dissertation Abstracts International, Volume: 32-07, Section: A, page: 4151.",The University of Oklahoma.,"Speech Communication.||Rhetoric.||Alexander, William Hamilton, 1915-1960.",Ph.D.,,William H. Alexander :,Thesis,(UMI)AAI7203387
96,11244/111,,"Dowell, Virgil Eugene.",1957,,"x, 141 leaves :",http://hdl.handle.net/11244/208,,"Source: Dissertation Abstracts International, Volume: 17-04, page: 0919.",The University of Oklahoma.,"Biology, Zoology.||Fishes Oklahoma Lake Texoma.",Ph.D.,,Activity patterns and distribution of the fishes in the Buncombe Creek arm of Lake Texoma /,Thesis,(UMI)AAI0020570
3489,11244/111,,"Yeo, Kwang Ok,",1973,,"ix, 117 leaves ;",http://hdl.handle.net/11244/3601,,"Source: Dissertation Abstracts International, Volume: 34-06, Section: B, page: 2553.",The University of Oklahoma.,"Solubility.||Chemistry, Physical.||Complex compounds.",Ph.D.,,Thermodynamic studies of the effects of solvents on molecular complex formation equilibria :,Thesis,(UMI)AAI7331495
136,11244/111,,"Strano, Alfonso J.",1957,,"vii, 78 leaves :",http://hdl.handle.net/11244/248,,"Source: Dissertation Abstracts International, Volume: 17-12, page: 2984.",The University of Oklahoma.,"Transplantation of organs, tissues, etc.||Health Sciences, Pathology.",Ph.D.,,"Studies on the survival, growth, and differentiation of embryonic tissue homotransplants /",Thesis,(UMI)AAI0024428
123,11244/111,,"Askew, Melvin W.,",1957,,"iv, 187 leaves ;",http://hdl.handle.net/11244/235,,"Source: Dissertation Abstracts International, Volume: 17-12, page: 3009.",The University of Oklahoma.,"Wharton, Edith, 1862-1937.||Literature, Modern.",Ph.D.,,Edith Wharton's literary theory /,Thesis,(UMI)AAI0024415
